"","Roughness","Harmonicity","Familiarity","Composite_Model","mean_pitch","Register","Stimuli","StimulusName","Sharpness"
"1",0.554966543574446,2,0.780243332100067,1.31258395340623,33.75,"1",1,"3-11B",0.862428
"2",0.366769871150228,2,0.780243332100067,1.617464493581,43.75,"2",1,"3-11B",0.750212
"3",0.231732026315385,2,0.780243332100067,1.83622718766563,53.75,"3",1,"3-11B",0.699464
"4",0.143195471628313,2,0.780243332100067,1.97965731462006,63.75,"4",1,"3-11B",0.663582
"5",0.0902114301997494,2,0.780243332100067,2.06549200533643,73.75,"5",1,"3-11B",0.831026
"6",0.0585012469695127,2,0.780243332100067,2.11686282750742,83.75,"6",1,"3-11B",1.07289
"7",0.0405197722192983,2,0.780243332100067,2.14599300108789,93.75,"7",1,"3-11B",1.28989
"8",0.633405238501179,2.93872187554087,10.5471949829914,0.325010085390574,34,"1",2,"3-7A",0.831663
"9",0.456221869493167,2.93872187554087,10.5471949829914,0.612048961037543,44,"2",2,"3-7A",0.768233
"10",0.309372186955564,2.93872187554087,10.5471949829914,0.849946953386937,54,"3",2,"3-7A",0.710821
"11",0.195415433945903,2.93872187554087,10.5471949829914,1.0345580624284,64,"4",2,"3-7A",0.661741
"12",0.116208347981027,2.93872187554087,10.5471949829914,1.16287435433502,74,"5",2,"3-7A",0.858267
"13",0.0654264761909807,2.93872187554087,10.5471949829914,1.24514150764333,84,"6",2,"3-7A",1.04238
"14",0.040391252560629,2.93872187554087,10.5471949829914,1.2856988267792,94,"7",2,"3-7A",1.25554
"15",0.798434345246408,3.90689059560852,5.8331703920912,0.26556068949197,33.5,"1",3,"4-20",0.793418
"16",0.615811391061313,3.90689059560852,5.8331703920912,0.561411748934502,43.5,"2",3,"4-20",0.790572
"17",0.488365580178117,3.90689059560852,5.8331703920912,0.767875270125221,53.5,"3",3,"4-20",0.663284
"18",0.395396552407281,3.90689059560852,5.8331703920912,0.918486048951342,63.5,"4",3,"4-20",0.669791
"19",0.32000797910665,3.90689059560852,5.8331703920912,1.04061631116497,73.5,"5",3,"4-20",0.968252
"20",0.250133945879293,3.90689059560852,5.8331703920912,1.15381296188218,83.5,"6",3,"4-20",0.990299
"21",0.184291688485985,3.90689059560852,5.8331703920912,1.2604780943833,93.5,"7",3,"4-20",1.31793
"22",0.821315294511037,5.98737261933036,10.5471949829914,-0.300470175548911,34.25,"1",4,"4-19A",0.778397
"23",0.635437235625602,5.98737261933036,10.5471949829914,0.000654186904676224,44.25,"2",4,"4-19A",0.757584
"24",0.503031104809936,5.98737261933036,10.5471949829914,0.215153477277554,54.25,"3",4,"4-19A",0.712004
"25",0.406522409439816,5.98737261933036,10.5471949829914,0.371498553930556,64.25,"4",4,"4-19A",0.668715
"26",0.325911025675447,5.98737261933036,10.5471949829914,0.502089822680078,74.25,"5",4,"4-19A",0.881439
"27",0.25612866707219,5.98737261933036,10.5471949829914,0.615137959565694,84.25,"6",4,"4-19A",1.05368
"28",0.187830141110479,5.98737261933036,10.5471949829914,0.725782272348279,94.25,"7",4,"4-19A",1.29227
